aggregator,g,metric_name,metric_value,model_family,run_id,stride,summary_path,ticket_stage,track,view_mode,window_size
majority_vote,25,file_acc@1,64.0,transformer,e0_transformer_cls_w100_g25-20260401-020535-86efd02e,50,/Users/jeremykalfus/CodingProjects/smelt/results/file-level-eval/e0_transformer_cls_w100_g25-20260401-020535-86efd02e/majority_vote/summary_metrics.json,t07,exact-upstream,diff,100
majority_vote,25,file_acc@5,88.0,transformer,e0_transformer_cls_w100_g25-20260401-020535-86efd02e,50,/Users/jeremykalfus/CodingProjects/smelt/results/file-level-eval/e0_transformer_cls_w100_g25-20260401-020535-86efd02e/majority_vote/summary_metrics.json,t07,exact-upstream,diff,100
majority_vote,25,file_macro_precision,51.9,transformer,e0_transformer_cls_w100_g25-20260401-020535-86efd02e,50,/Users/jeremykalfus/CodingProjects/smelt/results/file-level-eval/e0_transformer_cls_w100_g25-20260401-020535-86efd02e/majority_vote/summary_metrics.json,t07,exact-upstream,diff,100
majority_vote,25,file_macro_recall,64.0,transformer,e0_transformer_cls_w100_g25-20260401-020535-86efd02e,50,/Users/jeremykalfus/CodingProjects/smelt/results/file-level-eval/e0_transformer_cls_w100_g25-20260401-020535-86efd02e/majority_vote/summary_metrics.json,t07,exact-upstream,diff,100
majority_vote,25,file_macro_f1,55.46666666666666,transformer,e0_transformer_cls_w100_g25-20260401-020535-86efd02e,50,/Users/jeremykalfus/CodingProjects/smelt/results/file-level-eval/e0_transformer_cls_w100_g25-20260401-020535-86efd02e/majority_vote/summary_metrics.json,t07,exact-upstream,diff,100
mean_logits,25,file_acc@1,66.0,transformer,e0_transformer_cls_w100_g25-20260401-020535-86efd02e,50,/Users/jeremykalfus/CodingProjects/smelt/results/file-level-eval/e0_transformer_cls_w100_g25-20260401-020535-86efd02e/mean_logits/summary_metrics.json,t07,exact-upstream,diff,100
mean_logits,25,file_acc@5,98.0,transformer,e0_transformer_cls_w100_g25-20260401-020535-86efd02e,50,/Users/jeremykalfus/CodingProjects/smelt/results/file-level-eval/e0_transformer_cls_w100_g25-20260401-020535-86efd02e/mean_logits/summary_metrics.json,t07,exact-upstream,diff,100
mean_logits,25,file_macro_precision,56.56666666666666,transformer,e0_transformer_cls_w100_g25-20260401-020535-86efd02e,50,/Users/jeremykalfus/CodingProjects/smelt/results/file-level-eval/e0_transformer_cls_w100_g25-20260401-020535-86efd02e/mean_logits/summary_metrics.json,t07,exact-upstream,diff,100
mean_logits,25,file_macro_recall,66.0,transformer,e0_transformer_cls_w100_g25-20260401-020535-86efd02e,50,/Users/jeremykalfus/CodingProjects/smelt/results/file-level-eval/e0_transformer_cls_w100_g25-20260401-020535-86efd02e/mean_logits/summary_metrics.json,t07,exact-upstream,diff,100
mean_logits,25,file_macro_f1,59.133333333333326,transformer,e0_transformer_cls_w100_g25-20260401-020535-86efd02e,50,/Users/jeremykalfus/CodingProjects/smelt/results/file-level-eval/e0_transformer_cls_w100_g25-20260401-020535-86efd02e/mean_logits/summary_metrics.json,t07,exact-upstream,diff,100
mean_probabilities,25,file_acc@1,66.0,transformer,e0_transformer_cls_w100_g25-20260401-020535-86efd02e,50,/Users/jeremykalfus/CodingProjects/smelt/results/file-level-eval/e0_transformer_cls_w100_g25-20260401-020535-86efd02e/mean_probabilities/summary_metrics.json,t07,exact-upstream,diff,100
mean_probabilities,25,file_acc@5,94.0,transformer,e0_transformer_cls_w100_g25-20260401-020535-86efd02e,50,/Users/jeremykalfus/CodingProjects/smelt/results/file-level-eval/e0_transformer_cls_w100_g25-20260401-020535-86efd02e/mean_probabilities/summary_metrics.json,t07,exact-upstream,diff,100
mean_probabilities,25,file_macro_precision,56.166666666666664,transformer,e0_transformer_cls_w100_g25-20260401-020535-86efd02e,50,/Users/jeremykalfus/CodingProjects/smelt/results/file-level-eval/e0_transformer_cls_w100_g25-20260401-020535-86efd02e/mean_probabilities/summary_metrics.json,t07,exact-upstream,diff,100
mean_probabilities,25,file_macro_recall,66.0,transformer,e0_transformer_cls_w100_g25-20260401-020535-86efd02e,50,/Users/jeremykalfus/CodingProjects/smelt/results/file-level-eval/e0_transformer_cls_w100_g25-20260401-020535-86efd02e/mean_probabilities/summary_metrics.json,t07,exact-upstream,diff,100
mean_probabilities,25,file_macro_f1,58.733333333333334,transformer,e0_transformer_cls_w100_g25-20260401-020535-86efd02e,50,/Users/jeremykalfus/CodingProjects/smelt/results/file-level-eval/e0_transformer_cls_w100_g25-20260401-020535-86efd02e/mean_probabilities/summary_metrics.json,t07,exact-upstream,diff,100
majority_vote,25,file_acc@1,66.0,cnn,f1_cnn_cls_w100_g25-20260401-030915-420a9ae4,50,/Users/jeremykalfus/CodingProjects/smelt/results/file-level-eval/f1_cnn_cls_w100_g25-20260401-030915-420a9ae4/majority_vote/summary_metrics.json,t08,exact-upstream,diff,100
majority_vote,25,file_acc@5,92.0,cnn,f1_cnn_cls_w100_g25-20260401-030915-420a9ae4,50,/Users/jeremykalfus/CodingProjects/smelt/results/file-level-eval/f1_cnn_cls_w100_g25-20260401-030915-420a9ae4/majority_vote/summary_metrics.json,t08,exact-upstream,diff,100
majority_vote,25,file_macro_precision,57.06666666666666,cnn,f1_cnn_cls_w100_g25-20260401-030915-420a9ae4,50,/Users/jeremykalfus/CodingProjects/smelt/results/file-level-eval/f1_cnn_cls_w100_g25-20260401-030915-420a9ae4/majority_vote/summary_metrics.json,t08,exact-upstream,diff,100
majority_vote,25,file_macro_recall,66.0,cnn,f1_cnn_cls_w100_g25-20260401-030915-420a9ae4,50,/Users/jeremykalfus/CodingProjects/smelt/results/file-level-eval/f1_cnn_cls_w100_g25-20260401-030915-420a9ae4/majority_vote/summary_metrics.json,t08,exact-upstream,diff,100
majority_vote,25,file_macro_f1,59.66666666666666,cnn,f1_cnn_cls_w100_g25-20260401-030915-420a9ae4,50,/Users/jeremykalfus/CodingProjects/smelt/results/file-level-eval/f1_cnn_cls_w100_g25-20260401-030915-420a9ae4/majority_vote/summary_metrics.json,t08,exact-upstream,diff,100
mean_logits,25,file_acc@1,64.0,cnn,f1_cnn_cls_w100_g25-20260401-030915-420a9ae4,50,/Users/jeremykalfus/CodingProjects/smelt/results/file-level-eval/f1_cnn_cls_w100_g25-20260401-030915-420a9ae4/mean_logits/summary_metrics.json,t08,exact-upstream,diff,100
mean_logits,25,file_acc@5,94.0,cnn,f1_cnn_cls_w100_g25-20260401-030915-420a9ae4,50,/Users/jeremykalfus/CodingProjects/smelt/results/file-level-eval/f1_cnn_cls_w100_g25-20260401-030915-420a9ae4/mean_logits/summary_metrics.json,t08,exact-upstream,diff,100
mean_logits,25,file_macro_precision,56.89999999999999,cnn,f1_cnn_cls_w100_g25-20260401-030915-420a9ae4,50,/Users/jeremykalfus/CodingProjects/smelt/results/file-level-eval/f1_cnn_cls_w100_g25-20260401-030915-420a9ae4/mean_logits/summary_metrics.json,t08,exact-upstream,diff,100
mean_logits,25,file_macro_recall,64.0,cnn,f1_cnn_cls_w100_g25-20260401-030915-420a9ae4,50,/Users/jeremykalfus/CodingProjects/smelt/results/file-level-eval/f1_cnn_cls_w100_g25-20260401-030915-420a9ae4/mean_logits/summary_metrics.json,t08,exact-upstream,diff,100
mean_logits,25,file_macro_f1,58.8,cnn,f1_cnn_cls_w100_g25-20260401-030915-420a9ae4,50,/Users/jeremykalfus/CodingProjects/smelt/results/file-level-eval/f1_cnn_cls_w100_g25-20260401-030915-420a9ae4/mean_logits/summary_metrics.json,t08,exact-upstream,diff,100
mean_probabilities,25,file_acc@1,66.0,cnn,f1_cnn_cls_w100_g25-20260401-030915-420a9ae4,50,/Users/jeremykalfus/CodingProjects/smelt/results/file-level-eval/f1_cnn_cls_w100_g25-20260401-030915-420a9ae4/mean_probabilities/summary_metrics.json,t08,exact-upstream,diff,100
mean_probabilities,25,file_acc@5,94.0,cnn,f1_cnn_cls_w100_g25-20260401-030915-420a9ae4,50,/Users/jeremykalfus/CodingProjects/smelt/results/file-level-eval/f1_cnn_cls_w100_g25-20260401-030915-420a9ae4/mean_probabilities/summary_metrics.json,t08,exact-upstream,diff,100
mean_probabilities,25,file_macro_precision,57.33333333333333,cnn,f1_cnn_cls_w100_g25-20260401-030915-420a9ae4,50,/Users/jeremykalfus/CodingProjects/smelt/results/file-level-eval/f1_cnn_cls_w100_g25-20260401-030915-420a9ae4/mean_probabilities/summary_metrics.json,t08,exact-upstream,diff,100
mean_probabilities,25,file_macro_recall,66.0,cnn,f1_cnn_cls_w100_g25-20260401-030915-420a9ae4,50,/Users/jeremykalfus/CodingProjects/smelt/results/file-level-eval/f1_cnn_cls_w100_g25-20260401-030915-420a9ae4/mean_probabilities/summary_metrics.json,t08,exact-upstream,diff,100
mean_probabilities,25,file_macro_f1,59.90476190476189,cnn,f1_cnn_cls_w100_g25-20260401-030915-420a9ae4,50,/Users/jeremykalfus/CodingProjects/smelt/results/file-level-eval/f1_cnn_cls_w100_g25-20260401-030915-420a9ae4/mean_probabilities/summary_metrics.json,t08,exact-upstream,diff,100
majority_vote,25,file_acc@1,78.0,cnn,m01_cnn_all12_diff_fileagg-20260401-180808-e777df14,50,/Users/jeremykalfus/CodingProjects/smelt/results/runs/m01_cnn_all12_diff_fileagg-20260401-180808-e777df14/file_level/majority_vote/summary_metrics.json,m01,moonshot-enhanced-setting,diff_all12,100
majority_vote,25,file_acc@5,96.0,cnn,m01_cnn_all12_diff_fileagg-20260401-180808-e777df14,50,/Users/jeremykalfus/CodingProjects/smelt/results/runs/m01_cnn_all12_diff_fileagg-20260401-180808-e777df14/file_level/majority_vote/summary_metrics.json,m01,moonshot-enhanced-setting,diff_all12,100
majority_vote,25,file_macro_precision,70.66666666666667,cnn,m01_cnn_all12_diff_fileagg-20260401-180808-e777df14,50,/Users/jeremykalfus/CodingProjects/smelt/results/runs/m01_cnn_all12_diff_fileagg-20260401-180808-e777df14/file_level/majority_vote/summary_metrics.json,m01,moonshot-enhanced-setting,diff_all12,100
majority_vote,25,file_macro_recall,78.0,cnn,m01_cnn_all12_diff_fileagg-20260401-180808-e777df14,50,/Users/jeremykalfus/CodingProjects/smelt/results/runs/m01_cnn_all12_diff_fileagg-20260401-180808-e777df14/file_level/majority_vote/summary_metrics.json,m01,moonshot-enhanced-setting,diff_all12,100
majority_vote,25,file_macro_f1,73.0,cnn,m01_cnn_all12_diff_fileagg-20260401-180808-e777df14,50,/Users/jeremykalfus/CodingProjects/smelt/results/runs/m01_cnn_all12_diff_fileagg-20260401-180808-e777df14/file_level/majority_vote/summary_metrics.json,m01,moonshot-enhanced-setting,diff_all12,100
mean_logits,25,file_acc@1,80.0,cnn,m01_cnn_all12_diff_fileagg-20260401-180808-e777df14,50,/Users/jeremykalfus/CodingProjects/smelt/results/runs/m01_cnn_all12_diff_fileagg-20260401-180808-e777df14/file_level/mean_logits/summary_metrics.json,m01,moonshot-enhanced-setting,diff_all12,100
mean_logits,25,file_acc@5,98.0,cnn,m01_cnn_all12_diff_fileagg-20260401-180808-e777df14,50,/Users/jeremykalfus/CodingProjects/smelt/results/runs/m01_cnn_all12_diff_fileagg-20260401-180808-e777df14/file_level/mean_logits/summary_metrics.json,m01,moonshot-enhanced-setting,diff_all12,100
mean_logits,25,file_macro_precision,73.33333333333334,cnn,m01_cnn_all12_diff_fileagg-20260401-180808-e777df14,50,/Users/jeremykalfus/CodingProjects/smelt/results/runs/m01_cnn_all12_diff_fileagg-20260401-180808-e777df14/file_level/mean_logits/summary_metrics.json,m01,moonshot-enhanced-setting,diff_all12,100
mean_logits,25,file_macro_recall,80.0,cnn,m01_cnn_all12_diff_fileagg-20260401-180808-e777df14,50,/Users/jeremykalfus/CodingProjects/smelt/results/runs/m01_cnn_all12_diff_fileagg-20260401-180808-e777df14/file_level/mean_logits/summary_metrics.json,m01,moonshot-enhanced-setting,diff_all12,100
mean_logits,25,file_macro_f1,75.33333333333333,cnn,m01_cnn_all12_diff_fileagg-20260401-180808-e777df14,50,/Users/jeremykalfus/CodingProjects/smelt/results/runs/m01_cnn_all12_diff_fileagg-20260401-180808-e777df14/file_level/mean_logits/summary_metrics.json,m01,moonshot-enhanced-setting,diff_all12,100
mean_probabilities,25,file_acc@1,82.0,cnn,m01_cnn_all12_diff_fileagg-20260401-180808-e777df14,50,/Users/jeremykalfus/CodingProjects/smelt/results/runs/m01_cnn_all12_diff_fileagg-20260401-180808-e777df14/file_level/mean_probabilities/summary_metrics.json,m01,moonshot-enhanced-setting,diff_all12,100
mean_probabilities,25,file_acc@5,98.0,cnn,m01_cnn_all12_diff_fileagg-20260401-180808-e777df14,50,/Users/jeremykalfus/CodingProjects/smelt/results/runs/m01_cnn_all12_diff_fileagg-20260401-180808-e777df14/file_level/mean_probabilities/summary_metrics.json,m01,moonshot-enhanced-setting,diff_all12,100
mean_probabilities,25,file_macro_precision,76.33333333333334,cnn,m01_cnn_all12_diff_fileagg-20260401-180808-e777df14,50,/Users/jeremykalfus/CodingProjects/smelt/results/runs/m01_cnn_all12_diff_fileagg-20260401-180808-e777df14/file_level/mean_probabilities/summary_metrics.json,m01,moonshot-enhanced-setting,diff_all12,100
mean_probabilities,25,file_macro_recall,82.0,cnn,m01_cnn_all12_diff_fileagg-20260401-180808-e777df14,50,/Users/jeremykalfus/CodingProjects/smelt/results/runs/m01_cnn_all12_diff_fileagg-20260401-180808-e777df14/file_level/mean_probabilities/summary_metrics.json,m01,moonshot-enhanced-setting,diff_all12,100
mean_probabilities,25,file_macro_f1,78.0,cnn,m01_cnn_all12_diff_fileagg-20260401-180808-e777df14,50,/Users/jeremykalfus/CodingProjects/smelt/results/runs/m01_cnn_all12_diff_fileagg-20260401-180808-e777df14/file_level/mean_probabilities/summary_metrics.json,m01,moonshot-enhanced-setting,diff_all12,100
majority_vote,25,file_acc@1,70.0,inception,t10b_inception_diff_supervised_w100_g25-20260401-144426-c9f0ef66,50,/Users/jeremykalfus/CodingProjects/smelt/results/file-level-eval/t10b_inception_diff_supervised_w100_g25-20260401-144426-c9f0ef66/majority_vote/summary_metrics.json,t10b,research-extension,diff,100
majority_vote,25,file_acc@5,94.0,inception,t10b_inception_diff_supervised_w100_g25-20260401-144426-c9f0ef66,50,/Users/jeremykalfus/CodingProjects/smelt/results/file-level-eval/t10b_inception_diff_supervised_w100_g25-20260401-144426-c9f0ef66/majority_vote/summary_metrics.json,t10b,research-extension,diff,100
majority_vote,25,file_macro_precision,60.0,inception,t10b_inception_diff_supervised_w100_g25-20260401-144426-c9f0ef66,50,/Users/jeremykalfus/CodingProjects/smelt/results/file-level-eval/t10b_inception_diff_supervised_w100_g25-20260401-144426-c9f0ef66/majority_vote/summary_metrics.json,t10b,research-extension,diff,100
majority_vote,25,file_macro_recall,70.0,inception,t10b_inception_diff_supervised_w100_g25-20260401-144426-c9f0ef66,50,/Users/jeremykalfus/CodingProjects/smelt/results/file-level-eval/t10b_inception_diff_supervised_w100_g25-20260401-144426-c9f0ef66/majority_vote/summary_metrics.json,t10b,research-extension,diff,100
majority_vote,25,file_macro_f1,62.9047619047619,inception,t10b_inception_diff_supervised_w100_g25-20260401-144426-c9f0ef66,50,/Users/jeremykalfus/CodingProjects/smelt/results/file-level-eval/t10b_inception_diff_supervised_w100_g25-20260401-144426-c9f0ef66/majority_vote/summary_metrics.json,t10b,research-extension,diff,100
mean_logits,25,file_acc@1,70.0,inception,t10b_inception_diff_supervised_w100_g25-20260401-144426-c9f0ef66,50,/Users/jeremykalfus/CodingProjects/smelt/results/file-level-eval/t10b_inception_diff_supervised_w100_g25-20260401-144426-c9f0ef66/mean_logits/summary_metrics.json,t10b,research-extension,diff,100
mean_logits,25,file_acc@5,94.0,inception,t10b_inception_diff_supervised_w100_g25-20260401-144426-c9f0ef66,50,/Users/jeremykalfus/CodingProjects/smelt/results/file-level-eval/t10b_inception_diff_supervised_w100_g25-20260401-144426-c9f0ef66/mean_logits/summary_metrics.json,t10b,research-extension,diff,100
mean_logits,25,file_macro_precision,61.8,inception,t10b_inception_diff_supervised_w100_g25-20260401-144426-c9f0ef66,50,/Users/jeremykalfus/CodingProjects/smelt/results/file-level-eval/t10b_inception_diff_supervised_w100_g25-20260401-144426-c9f0ef66/mean_logits/summary_metrics.json,t10b,research-extension,diff,100
mean_logits,25,file_macro_recall,70.0,inception,t10b_inception_diff_supervised_w100_g25-20260401-144426-c9f0ef66,50,/Users/jeremykalfus/CodingProjects/smelt/results/file-level-eval/t10b_inception_diff_supervised_w100_g25-20260401-144426-c9f0ef66/mean_logits/summary_metrics.json,t10b,research-extension,diff,100
mean_logits,25,file_macro_f1,64.0,inception,t10b_inception_diff_supervised_w100_g25-20260401-144426-c9f0ef66,50,/Users/jeremykalfus/CodingProjects/smelt/results/file-level-eval/t10b_inception_diff_supervised_w100_g25-20260401-144426-c9f0ef66/mean_logits/summary_metrics.json,t10b,research-extension,diff,100
mean_probabilities,25,file_acc@1,72.0,inception,t10b_inception_diff_supervised_w100_g25-20260401-144426-c9f0ef66,50,/Users/jeremykalfus/CodingProjects/smelt/results/file-level-eval/t10b_inception_diff_supervised_w100_g25-20260401-144426-c9f0ef66/mean_probabilities/summary_metrics.json,t10b,research-extension,diff,100
mean_probabilities,25,file_acc@5,94.0,inception,t10b_inception_diff_supervised_w100_g25-20260401-144426-c9f0ef66,50,/Users/jeremykalfus/CodingProjects/smelt/results/file-level-eval/t10b_inception_diff_supervised_w100_g25-20260401-144426-c9f0ef66/mean_probabilities/summary_metrics.json,t10b,research-extension,diff,100
mean_probabilities,25,file_macro_precision,62.73333333333333,inception,t10b_inception_diff_supervised_w100_g25-20260401-144426-c9f0ef66,50,/Users/jeremykalfus/CodingProjects/smelt/results/file-level-eval/t10b_inception_diff_supervised_w100_g25-20260401-144426-c9f0ef66/mean_probabilities/summary_metrics.json,t10b,research-extension,diff,100
mean_probabilities,25,file_macro_recall,72.0,inception,t10b_inception_diff_supervised_w100_g25-20260401-144426-c9f0ef66,50,/Users/jeremykalfus/CodingProjects/smelt/results/file-level-eval/t10b_inception_diff_supervised_w100_g25-20260401-144426-c9f0ef66/mean_probabilities/summary_metrics.json,t10b,research-extension,diff,100
mean_probabilities,25,file_macro_f1,65.33333333333333,inception,t10b_inception_diff_supervised_w100_g25-20260401-144426-c9f0ef66,50,/Users/jeremykalfus/CodingProjects/smelt/results/file-level-eval/t10b_inception_diff_supervised_w100_g25-20260401-144426-c9f0ef66/mean_probabilities/summary_metrics.json,t10b,research-extension,diff,100
