aggregator,channel_set,file_acc@1,file_acc@5,file_confusion_matrix_path,file_macro_f1,file_macro_precision,file_macro_recall,file_per_category_accuracy_path,file_predictions_path,file_summary_metrics_path,g,model_family,run_id,stride,ticket_stage,track,view_mode,window_acc@1,window_acc@5,window_macro_f1,window_size
window_none,all12,,,,,,,,,,25,cnn,m01_cnn_all12_diff_fileagg-20260401-180808-e777df14,50,m01,moonshot-enhanced-setting,diff_all12,67.13147410358566,94.62151394422311,66.17478151382247,100
mean_logits,all12,80.0,98.0,/Users/jeremykalfus/CodingProjects/smelt/results/runs/m01_cnn_all12_diff_fileagg-20260401-180808-e777df14/file_level/mean_logits/confusion_matrix.csv,75.33333333333333,73.33333333333334,80.0,/Users/jeremykalfus/CodingProjects/smelt/results/runs/m01_cnn_all12_diff_fileagg-20260401-180808-e777df14/file_level/mean_logits/per_category_accuracy.csv,/Users/jeremykalfus/CodingProjects/smelt/results/runs/m01_cnn_all12_diff_fileagg-20260401-180808-e777df14/file_level/mean_logits/per_file_predictions.csv,/Users/jeremykalfus/CodingProjects/smelt/results/runs/m01_cnn_all12_diff_fileagg-20260401-180808-e777df14/file_level/mean_logits/summary_metrics.json,25,cnn,m01_cnn_all12_diff_fileagg-20260401-180808-e777df14,50,m01,moonshot-enhanced-setting,diff_all12,67.13147410358566,94.62151394422311,66.17478151382247,100
mean_probabilities,all12,82.0,98.0,/Users/jeremykalfus/CodingProjects/smelt/results/runs/m01_cnn_all12_diff_fileagg-20260401-180808-e777df14/file_level/mean_probabilities/confusion_matrix.csv,78.0,76.33333333333334,82.0,/Users/jeremykalfus/CodingProjects/smelt/results/runs/m01_cnn_all12_diff_fileagg-20260401-180808-e777df14/file_level/mean_probabilities/per_category_accuracy.csv,/Users/jeremykalfus/CodingProjects/smelt/results/runs/m01_cnn_all12_diff_fileagg-20260401-180808-e777df14/file_level/mean_probabilities/per_file_predictions.csv,/Users/jeremykalfus/CodingProjects/smelt/results/runs/m01_cnn_all12_diff_fileagg-20260401-180808-e777df14/file_level/mean_probabilities/summary_metrics.json,25,cnn,m01_cnn_all12_diff_fileagg-20260401-180808-e777df14,50,m01,moonshot-enhanced-setting,diff_all12,67.13147410358566,94.62151394422311,66.17478151382247,100
majority_vote,all12,78.0,96.0,/Users/jeremykalfus/CodingProjects/smelt/results/runs/m01_cnn_all12_diff_fileagg-20260401-180808-e777df14/file_level/majority_vote/confusion_matrix.csv,73.0,70.66666666666667,78.0,/Users/jeremykalfus/CodingProjects/smelt/results/runs/m01_cnn_all12_diff_fileagg-20260401-180808-e777df14/file_level/majority_vote/per_category_accuracy.csv,/Users/jeremykalfus/CodingProjects/smelt/results/runs/m01_cnn_all12_diff_fileagg-20260401-180808-e777df14/file_level/majority_vote/per_file_predictions.csv,/Users/jeremykalfus/CodingProjects/smelt/results/runs/m01_cnn_all12_diff_fileagg-20260401-180808-e777df14/file_level/majority_vote/summary_metrics.json,25,cnn,m01_cnn_all12_diff_fileagg-20260401-180808-e777df14,50,m01,moonshot-enhanced-setting,diff_all12,67.13147410358566,94.62151394422311,66.17478151382247,100
window_none,benchmark6,,,,,,,,,,25,cnn,m01b_cnn_benchmark6_diff_fileagg-20260401-210146-bb7eb6f7,50,m01b,moonshot-enhanced-setting,diff_benchmark6,59.16334661354582,89.64143426294821,58.29808280885091,100
mean_logits,benchmark6,76.0,96.0,/Users/jeremykalfus/CodingProjects/smelt/results/runs/m01b_cnn_benchmark6_diff_fileagg-20260401-210146-bb7eb6f7/file_level/mean_logits/confusion_matrix.csv,72.66666666666666,71.0,76.0,/Users/jeremykalfus/CodingProjects/smelt/results/runs/m01b_cnn_benchmark6_diff_fileagg-20260401-210146-bb7eb6f7/file_level/mean_logits/per_category_accuracy.csv,/Users/jeremykalfus/CodingProjects/smelt/results/runs/m01b_cnn_benchmark6_diff_fileagg-20260401-210146-bb7eb6f7/file_level/mean_logits/per_file_predictions.csv,/Users/jeremykalfus/CodingProjects/smelt/results/runs/m01b_cnn_benchmark6_diff_fileagg-20260401-210146-bb7eb6f7/file_level/mean_logits/summary_metrics.json,25,cnn,m01b_cnn_benchmark6_diff_fileagg-20260401-210146-bb7eb6f7,50,m01b,moonshot-enhanced-setting,diff_benchmark6,59.16334661354582,89.64143426294821,58.29808280885091,100
mean_probabilities,benchmark6,80.0,98.0,/Users/jeremykalfus/CodingProjects/smelt/results/runs/m01b_cnn_benchmark6_diff_fileagg-20260401-210146-bb7eb6f7/file_level/mean_probabilities/confusion_matrix.csv,75.8,74.16666666666667,80.0,/Users/jeremykalfus/CodingProjects/smelt/results/runs/m01b_cnn_benchmark6_diff_fileagg-20260401-210146-bb7eb6f7/file_level/mean_probabilities/per_category_accuracy.csv,/Users/jeremykalfus/CodingProjects/smelt/results/runs/m01b_cnn_benchmark6_diff_fileagg-20260401-210146-bb7eb6f7/file_level/mean_probabilities/per_file_predictions.csv,/Users/jeremykalfus/CodingProjects/smelt/results/runs/m01b_cnn_benchmark6_diff_fileagg-20260401-210146-bb7eb6f7/file_level/mean_probabilities/summary_metrics.json,25,cnn,m01b_cnn_benchmark6_diff_fileagg-20260401-210146-bb7eb6f7,50,m01b,moonshot-enhanced-setting,diff_benchmark6,59.16334661354582,89.64143426294821,58.29808280885091,100
majority_vote,benchmark6,78.0,96.0,/Users/jeremykalfus/CodingProjects/smelt/results/runs/m01b_cnn_benchmark6_diff_fileagg-20260401-210146-bb7eb6f7/file_level/majority_vote/confusion_matrix.csv,71.66666666666666,68.66666666666667,78.0,/Users/jeremykalfus/CodingProjects/smelt/results/runs/m01b_cnn_benchmark6_diff_fileagg-20260401-210146-bb7eb6f7/file_level/majority_vote/per_category_accuracy.csv,/Users/jeremykalfus/CodingProjects/smelt/results/runs/m01b_cnn_benchmark6_diff_fileagg-20260401-210146-bb7eb6f7/file_level/majority_vote/per_file_predictions.csv,/Users/jeremykalfus/CodingProjects/smelt/results/runs/m01b_cnn_benchmark6_diff_fileagg-20260401-210146-bb7eb6f7/file_level/majority_vote/summary_metrics.json,25,cnn,m01b_cnn_benchmark6_diff_fileagg-20260401-210146-bb7eb6f7,50,m01b,moonshot-enhanced-setting,diff_benchmark6,59.16334661354582,89.64143426294821,58.29808280885091,100
window_none,extra6,,,,,,,,,,25,cnn,m01b_cnn_extra6_diff_fileagg-20260401-210235-c1d19854,50,m01b,moonshot-enhanced-setting,diff_extra6,42.03187250996016,79.4820717131474,38.23093231556686,100
mean_logits,extra6,50.0,84.0,/Users/jeremykalfus/CodingProjects/smelt/results/runs/m01b_cnn_extra6_diff_fileagg-20260401-210235-c1d19854/file_level/mean_logits/confusion_matrix.csv,41.696969696969695,38.86666666666666,50.0,/Users/jeremykalfus/CodingProjects/smelt/results/runs/m01b_cnn_extra6_diff_fileagg-20260401-210235-c1d19854/file_level/mean_logits/per_category_accuracy.csv,/Users/jeremykalfus/CodingProjects/smelt/results/runs/m01b_cnn_extra6_diff_fileagg-20260401-210235-c1d19854/file_level/mean_logits/per_file_predictions.csv,/Users/jeremykalfus/CodingProjects/smelt/results/runs/m01b_cnn_extra6_diff_fileagg-20260401-210235-c1d19854/file_level/mean_logits/summary_metrics.json,25,cnn,m01b_cnn_extra6_diff_fileagg-20260401-210235-c1d19854,50,m01b,moonshot-enhanced-setting,diff_extra6,42.03187250996016,79.4820717131474,38.23093231556686,100
mean_probabilities,extra6,50.0,84.0,/Users/jeremykalfus/CodingProjects/smelt/results/runs/m01b_cnn_extra6_diff_fileagg-20260401-210235-c1d19854/file_level/mean_probabilities/confusion_matrix.csv,41.96363636363636,39.533333333333324,50.0,/Users/jeremykalfus/CodingProjects/smelt/results/runs/m01b_cnn_extra6_diff_fileagg-20260401-210235-c1d19854/file_level/mean_probabilities/per_category_accuracy.csv,/Users/jeremykalfus/CodingProjects/smelt/results/runs/m01b_cnn_extra6_diff_fileagg-20260401-210235-c1d19854/file_level/mean_probabilities/per_file_predictions.csv,/Users/jeremykalfus/CodingProjects/smelt/results/runs/m01b_cnn_extra6_diff_fileagg-20260401-210235-c1d19854/file_level/mean_probabilities/summary_metrics.json,25,cnn,m01b_cnn_extra6_diff_fileagg-20260401-210235-c1d19854,50,m01b,moonshot-enhanced-setting,diff_extra6,42.03187250996016,79.4820717131474,38.23093231556686,100
majority_vote,extra6,52.0,76.0,/Users/jeremykalfus/CodingProjects/smelt/results/runs/m01b_cnn_extra6_diff_fileagg-20260401-210235-c1d19854/file_level/majority_vote/confusion_matrix.csv,45.4969696969697,43.36666666666666,52.0,/Users/jeremykalfus/CodingProjects/smelt/results/runs/m01b_cnn_extra6_diff_fileagg-20260401-210235-c1d19854/file_level/majority_vote/per_category_accuracy.csv,/Users/jeremykalfus/CodingProjects/smelt/results/runs/m01b_cnn_extra6_diff_fileagg-20260401-210235-c1d19854/file_level/majority_vote/per_file_predictions.csv,/Users/jeremykalfus/CodingProjects/smelt/results/runs/m01b_cnn_extra6_diff_fileagg-20260401-210235-c1d19854/file_level/majority_vote/summary_metrics.json,25,cnn,m01b_cnn_extra6_diff_fileagg-20260401-210235-c1d19854,50,m01b,moonshot-enhanced-setting,diff_extra6,42.03187250996016,79.4820717131474,38.23093231556686,100
window_none,all12,,,,,,,,,,25,cnn,m01b_cnn_all12_diff_fileagg_seed2-20260401-210324-af56ce98,50,m01b,moonshot-enhanced-setting,diff_all12,68.52589641434263,92.62948207171314,67.11099856295442,100
mean_logits,all12,88.0,98.0,/Users/jeremykalfus/CodingProjects/smelt/results/runs/m01b_cnn_all12_diff_fileagg_seed2-20260401-210324-af56ce98/file_level/mean_logits/confusion_matrix.csv,83.99999999999999,82.0,88.0,/Users/jeremykalfus/CodingProjects/smelt/results/runs/m01b_cnn_all12_diff_fileagg_seed2-20260401-210324-af56ce98/file_level/mean_logits/per_category_accuracy.csv,/Users/jeremykalfus/CodingProjects/smelt/results/runs/m01b_cnn_all12_diff_fileagg_seed2-20260401-210324-af56ce98/file_level/mean_logits/per_file_predictions.csv,/Users/jeremykalfus/CodingProjects/smelt/results/runs/m01b_cnn_all12_diff_fileagg_seed2-20260401-210324-af56ce98/file_level/mean_logits/summary_metrics.json,25,cnn,m01b_cnn_all12_diff_fileagg_seed2-20260401-210324-af56ce98,50,m01b,moonshot-enhanced-setting,diff_all12,68.52589641434263,92.62948207171314,67.11099856295442,100
mean_probabilities,all12,88.0,98.0,/Users/jeremykalfus/CodingProjects/smelt/results/runs/m01b_cnn_all12_diff_fileagg_seed2-20260401-210324-af56ce98/file_level/mean_probabilities/confusion_matrix.csv,85.33333333333333,84.0,88.0,/Users/jeremykalfus/CodingProjects/smelt/results/runs/m01b_cnn_all12_diff_fileagg_seed2-20260401-210324-af56ce98/file_level/mean_probabilities/per_category_accuracy.csv,/Users/jeremykalfus/CodingProjects/smelt/results/runs/m01b_cnn_all12_diff_fileagg_seed2-20260401-210324-af56ce98/file_level/mean_probabilities/per_file_predictions.csv,/Users/jeremykalfus/CodingProjects/smelt/results/runs/m01b_cnn_all12_diff_fileagg_seed2-20260401-210324-af56ce98/file_level/mean_probabilities/summary_metrics.json,25,cnn,m01b_cnn_all12_diff_fileagg_seed2-20260401-210324-af56ce98,50,m01b,moonshot-enhanced-setting,diff_all12,68.52589641434263,92.62948207171314,67.11099856295442,100
majority_vote,all12,84.0,96.0,/Users/jeremykalfus/CodingProjects/smelt/results/runs/m01b_cnn_all12_diff_fileagg_seed2-20260401-210324-af56ce98/file_level/majority_vote/confusion_matrix.csv,80.33333333333333,78.66666666666667,84.0,/Users/jeremykalfus/CodingProjects/smelt/results/runs/m01b_cnn_all12_diff_fileagg_seed2-20260401-210324-af56ce98/file_level/majority_vote/per_category_accuracy.csv,/Users/jeremykalfus/CodingProjects/smelt/results/runs/m01b_cnn_all12_diff_fileagg_seed2-20260401-210324-af56ce98/file_level/majority_vote/per_file_predictions.csv,/Users/jeremykalfus/CodingProjects/smelt/results/runs/m01b_cnn_all12_diff_fileagg_seed2-20260401-210324-af56ce98/file_level/majority_vote/summary_metrics.json,25,cnn,m01b_cnn_all12_diff_fileagg_seed2-20260401-210324-af56ce98,50,m01b,moonshot-enhanced-setting,diff_all12,68.52589641434263,92.62948207171314,67.11099856295442,100
